age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
39,16,77516,25,13,11,16,7,9,3,2174,0,40,80,0
50,15,83311,25,13,9,19,6,9,3,0,0,13,80,0
38,13,215646,27,9,7,21,7,9,3,0,0,40,80,0
53,13,234721,17,7,9,21,6,7,3,0,0,40,80,0
28,13,338409,25,13,9,25,11,7,2,0,0,40,46,0
37,13,284582,28,14,9,19,11,9,2,0,0,40,80,0
49,13,160187,22,5,10,23,7,7,2,0,0,16,64,0
52,15,209642,27,9,9,19,6,9,3,0,0,45,80,1
31,13,45781,28,14,11,25,7,9,2,14084,0,50,80,1
42,13,159449,25,13,9,19,6,9,3,5178,0,40,80,1
37,13,280464,31,10,9,19,6,7,3,0,0,80,80,1
30,16,141297,25,13,9,25,6,6,3,0,0,40,60,1
23,13,122272,25,13,11,16,9,9,2,0,0,30,80,0
32,13,205019,23,12,11,27,7,7,3,0,0,50,80,0
40,13,121772,24,11,9,18,6,6,3,0,0,40,41,1
34,13,245487,21,4,9,29,6,5,3,0,0,45,67,0
25,15,176756,27,9,11,20,9,9,3,0,0,35,80,0
32,13,186824,27,9,11,22,10,9,3,0,0,40,80,0
38,13,28887,17,7,9,27,6,9,3,0,0,50,80,0
43,15,292175,28,14,7,19,10,9,2,0,0,45,80,1
40,13,193524,26,16,9,25,6,9,3,0,0,60,80,1
54,13,302146,27,9,12,23,10,7,2,0,0,20,80,0
35,10,76845,22,5,9,20,6,7,3,0,0,40,80,0
43,13,117037,17,7,9,29,6,9,3,0,2042,40,80,0
59,13,109015,27,9,7,28,10,9,2,0,0,40,80,0
56,11,216851,25,13,9,28,6,9,3,0,0,40,80,1
19,13,168294,27,9,11,18,9,9,3,0,0,40,80,0
54,9,180211,31,10,9,15,6,6,3,0,0,60,76,1
39,13,367260,27,9,7,19,7,9,3,0,0,80,80,0
49,13,193366,27,9,9,18,6,9,3,0,0,40,80,0
23,11,190709,23,12,11,26,7,9,3,0,0,52,80,0
20,13,266015,31,10,11,27,9,7,3,0,0,44,80,0
45,13,386940,25,13,7,19,9,9,3,0,1408,40,80,0
30,10,59951,31,10,9,16,9,9,3,0,0,40,80,0
22,16,311512,31,10,9,23,6,7,3,0,0,15,80,0
48,13,242406,17,7,11,22,10,9,3,0,0,40,74,0
21,13,197200,31,10,11,22,9,9,3,0,0,40,80,0
19,13,544091,27,9,8,16,11,9,2,0,0,25,80,0
31,13,84154,31,10,9,27,6,9,3,0,0,38,41,1
48,15,265477,23,12,9,25,6,9,3,0,0,40,80,0
31,13,507875,22,5,9,22,6,9,3,0,0,43,80,0
53,15,88506,25,13,9,25,6,9,3,0,0,40,80,0
24,13,172987,25,13,9,28,6,9,3,0,0,50,80,0
49,13,94638,27,9,12,16,10,9,2,0,0,40,80,0
25,13,289980,27,9,11,21,7,9,3,0,0,35,80,0
57,10,337895,25,13,9,25,6,7,3,0,0,40,80,1
53,13,144361,27,9,9,22,6,9,3,0,0,38,80,0
44,13,128354,28,14,7,19,10,9,2,0,0,40,80,0
41,16,101603,24,11,9,18,6,9,3,0,0,40,80,0
29,13,271466,24,11,11,25,7,9,3,0,0,43,80,0
25,13,32275,31,10,9,19,11,8,2,0,0,40,80,0
18,13,226956,27,9,11,23,9,9,2,0,0,30,41,0
47,13,51835,30,15,9,25,11,9,2,0,1902,60,57,1
50,10,251585,25,13,7,19,7,9,3,0,0,55,80,1
47,14,109832,27,9,7,19,7,9,3,0,0,60,80,0
43,13,237993,31,10,9,28,6,9,3,0,0,40,80,1
46,13,216666,20,3,9,22,6,9,3,0,0,40,67,0
35,13,56352,24,11,9,23,6,9,3,0,0,40,74,0
41,13,147372,27,9,9,16,6,9,3,0,0,48,80,0
30,13,188146,27,9,9,22,6,9,3,5013,0,40,80,0
30,13,59496,25,13,9,27,6,9,3,2407,0,40,80,0
32,9,293936,21,4,10,15,7,9,3,0,0,40,41,0
48,13,149640,27,9,9,29,6,9,3,0,0,40,80,0
42,13,116632,26,16,9,25,6,9,3,0,0,45,80,1
29,13,105598,31,10,7,28,7,9,3,0,0,58,80,0
36,13,155537,27,9,9,18,6,9,3,0,0,40,80,0
28,13,183175,31,10,7,16,7,9,2,0,0,40,80,0
53,13,169846,27,9,9,16,11,9,2,0,0,40,80,1
49,14,191681,31,10,9,19,6,9,3,0,0,50,80,1
25,9,200681,31,10,11,15,9,9,3,0,0,40,80,0
19,13,101509,31,10,11,25,9,9,3,0,0,32,80,0
31,13,309974,25,13,12,27,9,7,2,0,0,40,80,0
29,15,162298,25,13,9,27,6,9,3,0,0,70,80,1
23,13,211678,31,10,11,22,7,9,3,0,0,40,80,0
79,13,124744,31,10,9,25,8,9,3,0,0,20,80,0
27,13,213921,27,9,11,23,9,9,3,0,0,40,67,0
40,13,32214,23,12,9,16,6,9,3,0,0,40,80,0
67,9,212759,16,6,9,15,6,9,3,0,0,2,80,0
18,13,309634,17,7,11,23,9,9,2,0,0,22,80,0
31,11,125927,21,4,9,20,6,9,3,0,0,40,80,0
18,13,446839,27,9,11,27,7,9,3,0,0,30,80,0
52,13,276515,25,13,9,23,6,9,3,0,0,40,46,0
46,13,51618,27,9,9,23,11,9,2,0,0,40,80,0
59,13,159937,27,9,9,27,6,9,3,0,0,48,80,0
44,13,343591,27,9,7,18,7,9,2,14344,0,40,80,1
53,13,346253,27,9,7,27,9,9,2,0,0,35,80,0
49,11,268234,27,9,9,26,6,9,3,0,0,40,80,1
33,13,202051,28,14,9,25,6,9,3,0,0,50,80,0
30,13,54334,22,5,11,27,7,9,3,0,0,40,80,0
43,10,410867,26,16,11,25,7,9,2,0,0,50,80,1
57,13,249977,24,11,9,25,6,9,3,0,0,40,80,0
37,13,286730,31,10,7,18,10,9,2,0,0,40,80,0
28,13,212563,31,10,7,22,10,7,2,0,0,25,80,0
30,13,117747,27,9,9,27,11,6,2,0,1573,35,41,0
34,11,226296,25,13,9,26,6,9,3,0,0,40,80,1
29,11,115585,31,10,11,21,7,9,3,0,0,50,80,0
48,15,191277,26,16,9,25,6,9,3,0,1902,60,80,1
37,13,202683,31,10,9,27,6,9,3,0,0,48,80,1
48,13,171095,23,12,7,19,10,9,2,0,0,40,50,0
32,10,249409,27,9,11,23,9,7,3,0,0,40,80,0
76,13,124191,28,14,9,19,6,9,3,0,0,40,80,1
44,13,198282,25,13,9,19,6,9,3,15024,0,60,80,1
47,15,149116,28,14,11,25,7,9,2,0,0,50,80,0
20,13,188300,31,10,11,28,9,9,2,0,0,40,80,0
29,13,103432,27,9,11,18,7,9,3,0,0,40,80,0
32,14,317660,27,9,9,18,6,9,3,7688,0,40,80,1
17,9,304873,16,6,11,15,9,9,2,34095,0,32,80,0
30,13,194901,17,7,11,21,9,9,3,0,0,40,80,0
31,11,189265,27,9,11,16,7,9,2,0,0,40,80,0
42,13,124692,27,9,9,21,6,9,3,0,0,40,80,0
24,13,432376,25,13,11,27,8,9,3,0,0,40,80,0
38,13,65324,30,15,9,25,6,9,3,0,0,40,80,1
56,15,335605,27,9,9,23,6,9,3,0,1887,50,43,1
28,13,377869,31,10,9,27,11,9,2,4064,0,25,80,0
36,13,102864,27,9,11,22,9,9,2,0,0,40,80,0
53,13,95647,22,5,9,21,6,9,3,0,0,50,80,0
56,14,303090,31,10,9,27,6,9,3,0,0,50,80,0
49,11,197371,24,11,9,18,6,7,3,0,0,40,80,1
55,13,247552,31,10,9,27,6,9,3,0,0,56,80,0
22,13,102632,27,9,11,18,7,9,3,0,0,41,80,0
21,13,199915,31,10,11,23,9,9,2,0,0,40,80,0
40,13,118853,25,13,9,19,6,9,3,0,0,60,80,0
30,13,77143,25,13,11,19,9,7,3,0,0,40,52,0
29,16,267989,25,13,9,25,6,9,3,0,0,50,80,1
19,13,301606,31,10,11,23,9,7,3,0,0,35,80,0
47,13,287828,25,13,9,19,11,9,2,0,0,40,80,1
20,13,111697,31,10,11,16,9,9,2,0,1719,28,80,0
31,13,114937,23,12,9,16,6,9,3,0,0,40,80,1
35,9,129305,27,9,9,15,6,9,3,0,0,40,80,0
39,13,365739,31,10,7,18,7,9,3,0,0,40,80,0
28,13,69621,23,12,11,27,7,9,2,0,0,60,80,0
24,13,43323,27,9,11,23,7,9,2,0,1762,40,80,0
38,15,120985,27,9,9,18,6,9,3,4386,0,35,80,0
37,13,254202,25,13,9,27,6,9,3,0,0,50,80,0
46,13,146195,23,12,7,28,7,7,2,0,0,36,80,0
38,10,125933,28,14,9,25,6,9,3,0,0,40,61,1
43,15,56920,27,9,9,18,6,9,3,0,0,60,80,0
27,13,163127,24,11,9,16,11,9,2,0,0,35,80,0
20,13,34310,31,10,11,27,9,9,3,0,0,20,80,0
49,13,81973,31,10,9,18,6,6,3,0,0,40,80,1
61,14,66614,27,9,9,18,6,9,3,0,0,40,80,0
27,13,232782,31,10,11,27,9,9,2,0,0,40,80,0
19,13,316868,31,10,11,23,9,9,3,0,0,30,67,0
45,13,196584,24,11,11,25,7,9,2,0,1564,40,80,1
70,13,105376,31,10,11,28,8,9,3,0,0,40,80,0
31,13,185814,27,9,11,29,10,7,2,0,0,30,80,0
22,13,175374,31,10,9,23,6,9,3,0,0,24,80,0
36,13,108293,27,9,13,23,10,9,2,0,0,24,80,0
64,13,181232,17,7,9,18,6,9,3,0,2179,40,80,0
43,9,174662,31,10,7,15,7,9,2,0,0,40,80,0
47,11,186009,31,10,7,16,10,9,2,0,0,38,67,0
34,13,198183,27,9,11,16,7,9,2,0,0,40,80,0
33,13,163003,25,13,11,19,8,6,2,0,0,40,71,0
21,13,296158,27,9,11,18,9,9,3,0,0,35,80,0
52,9,252903,27,9,7,15,7,9,3,0,0,45,80,1
48,13,187715,27,9,9,18,6,9,3,0,0,46,80,0
23,13,214542,25,13,11,21,7,9,3,0,0,40,80,0
71,15,494223,31,10,12,27,10,7,3,0,1816,2,80,0
29,13,191535,27,9,7,18,7,9,3,0,0,60,80,0
42,13,228456,25,13,12,23,8,7,3,0,0,50,80,0
68,9,38317,19,2,7,15,7,9,2,0,0,20,80,0
25,13,252752,27,9,11,23,10,9,2,0,0,40,80,0
44,14,78374,28,14,7,19,10,6,2,0,0,40,80,0
28,13,88419,27,9,11,19,7,6,2,0,0,40,50,0
45,15,201080,28,14,9,27,6,9,3,0,0,40,80,1
