a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,output
3,30,1,1,7485,4,0,4,1,0,1,0,53,0,1,1,3,1,1,0,1
1,45,2,4,3031,1,2,4,2,2,4,1,21,2,0,1,2,1,0,0,1
1,27,0,9,8318,0,4,2,1,0,4,3,42,2,2,2,3,1,1,0,1
3,9,2,5,1236,0,1,1,1,0,4,0,23,2,0,1,2,1,1,0,0
1,24,2,3,3069,1,4,4,2,0,4,3,30,2,2,1,2,1,0,0,0
3,9,2,4,1478,0,3,4,2,0,2,2,22,2,1,1,2,1,0,0,1
3,18,2,3,3422,0,4,4,2,0,4,1,47,0,1,3,2,2,1,0,0
1,12,2,4,1158,2,2,3,0,0,1,2,26,2,1,1,2,1,1,0,0
0,21,1,0,1647,4,2,4,2,0,2,1,40,2,1,2,1,2,0,0,1
1,24,3,3,2064,0,0,3,1,0,2,1,34,2,1,1,3,1,1,0,1
3,24,2,8,937,0,1,4,3,0,3,2,27,2,1,2,1,1,0,0,0
0,15,2,3,1845,0,1,4,1,2,1,1,46,2,0,1,2,1,0,0,0
1,36,1,5,3990,4,1,3,1,0,2,3,29,0,1,1,0,1,0,0,0
3,24,2,4,1533,0,1,4,1,0,3,2,38,1,1,1,2,1,1,0,0
0,24,2,0,1207,0,1,4,1,0,4,1,24,2,0,1,2,1,0,0,1
3,24,3,9,2375,2,2,4,2,0,2,2,44,2,1,2,2,2,1,0,0
0,15,2,0,1721,0,1,2,2,0,3,0,36,2,1,1,2,1,0,0,0
0,48,2,0,7763,0,4,4,2,0,4,3,42,0,2,1,3,1,0,0,1
3,12,4,3,1592,3,3,3,1,0,2,1,35,2,1,1,2,1,0,1,0
1,6,2,4,753,0,2,2,1,2,3,0,64,2,1,1,2,1,0,0,0
3,15,2,1,4657,0,2,3,2,0,2,2,30,2,1,1,2,1,1,0,0
1,18,3,9,2427,4,4,4,2,0,2,1,42,2,1,2,2,1,0,0,0
1,36,2,6,2384,0,1,4,2,0,1,3,33,2,0,1,1,1,0,0,1
1,36,2,0,14318,0,4,4,2,0,2,3,57,2,2,1,3,1,1,0,1
1,6,1,0,931,1,1,1,1,0,1,1,32,1,1,1,1,1,0,0,1
0,12,2,4,727,1,1,4,3,0,3,3,33,2,1,1,1,1,1,0,1
1,24,2,4,3758,2,0,1,1,0,4,3,23,2,0,1,0,1,0,0,0
1,12,2,4,625,0,1,4,3,2,1,0,26,0,1,1,1,1,0,0,0
3,24,4,3,3777,3,2,4,2,0,4,0,50,2,1,1,2,1,1,0,0
0,9,4,6,1288,1,4,3,2,2,4,0,48,2,1,2,2,2,0,1,0
0,12,4,4,385,0,3,4,1,0,3,0,58,2,1,4,1,1,1,0,0
0,6,2,0,1203,1,4,3,2,0,2,1,43,2,1,1,2,1,1,0,0
0,24,1,3,2483,2,2,4,2,0,4,0,22,1,1,1,2,1,1,0,0
3,12,4,9,2292,0,0,4,2,0,2,2,42,1,1,2,3,1,1,0,1
0,9,2,3,2136,0,2,3,2,0,2,0,25,2,1,1,2,1,0,0,0
0,27,2,4,3416,0,2,3,2,0,2,2,27,2,1,1,3,1,0,0,0
1,24,4,4,1216,1,1,4,2,0,4,3,38,0,1,2,2,2,0,0,1
0,9,2,0,654,0,2,4,2,0,3,2,28,2,1,1,1,1,0,0,1
3,21,2,3,2241,0,4,4,2,0,2,0,50,2,1,2,2,1,0,0,0
3,24,4,6,5507,0,4,3,2,0,4,3,44,2,2,2,2,1,0,0,0
3,18,4,0,1055,0,1,4,1,0,1,1,30,2,1,2,2,1,0,0,0
1,27,4,4,2520,2,2,4,2,0,2,1,23,2,1,2,1,1,0,0,1
3,12,2,7,719,0,4,4,2,0,4,2,41,0,1,1,1,2,0,0,1
3,10,2,4,1924,0,2,1,2,0,4,1,38,2,1,1,2,1,1,1,0
